review,sentiment
"The product is excellent and works perfectly",positive
"I am very happy with this purchase",positive
"Great quality and fast delivery",positive
"This is the best product I have used",positive
"Absolutely fantastic experience",positive
"The product is terrible and useless",negative
"I am very disappointed with the quality",negative
"Worst purchase ever made",negative
"Not worth the money at all",negative
"The item stopped working after one day",negative
"Good value for money",positive
"Really satisfied with the performance",positive
"Poor design and bad material",negative
"Highly recommend this product",positive
"Completely waste of money",negative
